x	y	lnx	lny	
0	02.апр	0	1.223775432	
1	08.янв	0.693147181	2.208274414	
2	30.янв	1.098612289	3.437207819	
3	78.5	1.386294361	4.375757022	
4	150.6	1.609437912	5.021245473	
5	253.5	1.791759469	5.539300836	
6	362.2	1.945910149	5.894953647	
7	477.7	2.079441542	6.171074096	
8	557.7	2.197224577	6.325612656	
9	621	2.302585093	6.432940093	
10	639.4	2.397895273	6.462092981	
11	637.3	2.48490665	6.458808392	
12	605.6	2.564949357	6.407869595	
13	558.9	2.63905733	6.327758196	
14	532.3	2.708050201	6.279084118	
15	486.3	2.772588722	6.18887995	
16	418.3	2.833213344	6.038586654	
17	373	2.890371758	5.924255797	
18	328.9	2.944438979	5.798789578	
19	295.4	2.995732274	5.691709893	
20	253.4	3.044522438	5.538907831	
21	224.9	3.091042453	5.420092423	
22	183.6	3.135494216	5.218191322	
23	161.2	3.17805383	5.088830142	
24	152.3	3.218875825	5.032396786	
25	122.7	3.258096538	4.817859279	
26	114.6	3.295836866	4.750135956	
27	103.5	3.33220451	4.649187071	
28	83	3.36729583	4.430816799	
29	82.1	3.401197382	4.420044702	
30	73.2	3.433987204	4.30676415	
31	64.7	3.465735903	4.185098925	
32	57.3	3.496507561	4.065602093	
33	53.3	3.526360525	3.994524227	
34	46.7	3.555348061	3.864931398	
35	44.4	3.583518938	3.815512105	
36	43.4	3.610917913	3.793239469	
37	36.7	3.63758616	3.629660094	
38	36.4	3.663561646	3.621670704	
39	30	3.688879454	3.433987204	
40	31	3.713572067	3.465735903	
41	29.июн	3.737669618	3.421000009	
42	25.мар	3.761200116	3.269568939	
43	21.июн	3.784189634	3.117949906	
44	20.фев	3.80666249	3.054001182	
45	22.авг	3.828641396	3.169685581	
46	20.июн	3.850147602	3.072693315	
47	18.янв	3.871201011	2.949688335	
48	14.май	3.891820298	2.740840024	
49	20	3.912023005	3.044522438	
50	16.авг	3.931825633	2.879198457	
51	13.мар	3.951243719	2.660259537	
52	12.сен	3.970291914	2.63188884	
53	14.июн	3.988984047	2.747270914	
54	11.сен	4.007333185	2.557227311	
55	10.июн	4.025351691	2.451005098	
56	09.сен	4.043051268	2.388762789	
57	08.май	4.060443011	2.251291799	
58	08.сен	4.077537444	2.292534757	
59	09.мар	4.094344562	2.332143895	
60	06.авг	4.110873864	2.054123734	
61	08.июл	4.127134385	2.272125886	
62	10.янв	4.143134726	2.406945108	
63	07.июн	4.158883083	2.151762203	
64	07.авг	4.17438727	2.174751721	
65	08.июн	4.189654742	2.261763098	
66	06.июн	4.204692619	2.028148247	
67	05.авг	4.219507705	1.916922612	
68	05.янв	4.234106505	1.808288771	
69	05.апр	4.248495242	1.85629799	
70	05.мар	4.262679877	1.840549633	
71	5	4.276666119	1.791759469	
72	05.фев	4.290459441	1.824549292	
73	04.май	4.304065093	1.704748092	
74	04.июл	4.317488114	1.740466175	
75	05.янв	4.33073334	1.808288771	
76	4	4.343805422	1.609437912	
77	03.июл	4.356708827	1.547562509	
78	03.сен	4.369447852	1.589235205	
79	03.фев	4.382026635	1.435084525	
80	03.мар	4.394449155	1.458615023	
81	04.сен	4.406719247	1.774952351	
82	03.июн	4.418840608	1.526056303	
83	3	4.430816799	1.386294361	
84	03.май	4.442651256	1.504077397	
85	02.июл	4.454347296	1.30833282	
86	02.май	4.465908119	1.252762968	
87	02.авг	4.477336814	1.335001067	
88	03.апр	4.48863637	1.481604541	
89	01.сен	4.49980967	1.064710737	
90	02.сен	4.510859507	1.360976553	
91	3	4.521788577	1.386294361	
92	02.июл	4.532599493	1.30833282	
93	02.сен	4.543294782	1.360976553	
94	02.июн	4.553876892	1.280933845	
95	02.май	4.564348191	1.252762968	
96	02.авг	4.574710979	1.335001067	
97	2	4.584967479	1.098612289	
98	01.июн	4.59511985	0.955511445	
99	02.апр	4.605170186	1.223775432	
100	2	4.615120517	1.098612289	
101	01.фев	4.624972813	0.78845736	
102	02.янв	4.634728988	1.131402111	
103	01.апр	4.644390899	0.875468737	
104	02.апр	4.65396035	1.223775432	
105	01.мар	4.663439094	0.832909123	
106	01.авг	4.672828834	1.029619417	
107	01.май	4.682131227	0.916290732	
