x	y	lnx	lny
0	1	0	0.693147181
1	0	0.693147181	0
2	0	1.098612289	0
3	0	1.386294361	0
4	0	1.609437912	0
5	2834.5	1.791759469	7.949973567
6	1792.5	1.945910149	7.491924297
7	1189.9	2.079441542	7.082464603
8	831.8	2.197224577	6.724793517
9	612.1	2.302585093	6.418528055
10	451.1	2.397895273	6.113903394
11	348.7	2.48490665	5.857075644
12	282.1	2.564949357	5.645800192
13	215.8	2.63905733	5.37897527
14	177.8	2.708050201	5.186267863
15	147.4	2.772588722	4.999911331
16	121.1	2.833213344	4.804840381
17	100.2	2.890371758	4.617098757
18	83.3	2.944438979	4.434381865
19	73	2.995732274	4.304065093
20	67.7	3.044522438	4.229749199
21	58.9	3.091042453	4.092676505
22	51.7	3.135494216	3.964615456
23	43.8	3.17805383	3.802208139
24	39.1	3.218875825	3.691376334
25	35.2	3.258096538	3.589059119
26	31.8	3.295836866	3.490428515
27	31.3	3.33220451	3.47506723
28	25.6	3.36729583	3.280911216
29	22.6	3.401197382	3.161246712
30	18.7	3.433987204	2.980618636
31	15.7	3.465735903	2.815408719
32	15.3	3.496507561	2.791165108
33	17.2	3.526360525	2.901421594
34	12.7	3.555348061	2.617395833
35	12.5	3.583518938	2.602689685
36	11.4	3.610917913	2.517696473
37	10.3	3.63758616	2.424802726
38	11	3.663561646	2.48490665
39	10.8	3.688879454	2.468099531
40	9.4	3.713572067	2.341805806
41	7.3	3.737669618	2.116255515
42	6.9	3.761200116	2.066862759
43	7.2	3.784189634	2.104134154
44	6.4	3.80666249	2.00148
45	8.4	3.828641396	2.240709689
46	5.6	3.850147602	1.887069649
47	6.7	3.871201011	2.041220329
48	5.2	3.891820298	1.824549292
49	5.4	3.912023005	1.85629799
50	4.8	3.931825633	1.757857918
51	4.8	3.951243719	1.757857918
52	4.6	3.970291914	1.722766598
53	3.9	3.988984047	1.589235205
54	4.1	4.007333185	1.62924054
55	3.6	4.025351691	1.526056303
56	2.9	4.043051268	1.360976553
57	3.2	4.060443011	1.435084525
58	3.3	4.077537444	1.458615023
59	2.6	4.094344562	1.280933845
60	3.1	4.110873864	1.410986974
61	2	4.127134385	1.098612289
62	2.6	4.143134726	1.280933845
63	3.3	4.158883083	1.458615023
64	1.8	4.17438727	1.029619417
65	2.5	4.189654742	1.252762968
66	2.3	4.204692619	1.193922468
67	1.4	4.219507705	0.875468737
68	2.4	4.234106505	1.223775432
69	2.2	4.248495242	1.16315081
70	1.2	4.262679877	0.78845736
71	1.9	4.276666119	1.064710737
72	1.8	4.290459441	1.029619417
73	1.5	4.304065093	0.916290732
74	1.7	4.317488114	0.993251773
75	0.7	4.33073334	0.530628251
76	1.3	4.343805422	0.832909123
77	1.6	4.356708827	0.955511445
78	0.7	4.369447852	0.530628251
79	1.3	4.382026635	0.832909123
80	1.2	4.394449155	0.78845736
81	0.4	4.406719247	0.336472237
82	1	4.418840608	0.693147181
83	1.2	4.430816799	0.78845736
84	1.1	4.442651256	0.741937345
85	1.5	4.454347296	0.916290732
86	1.2	4.465908119	0.78845736
87	0.8	4.477336814	0.587786665
88	0.3	4.48863637	0.262364264
89	1.4	4.49980967	0.875468737
90	0.6	4.510859507	0.470003629
91	1.1	4.521788577	0.741937345
92	0.5	4.532599493	0.405465108
93	1.2	4.543294782	0.78845736
94	0.7	4.553876892	0.530628251
95	0.4	4.564348191	0.336472237
96	1.3	4.574710979	0.832909123
97	0.5	4.584967479	0.405465108
98	0.7	4.59511985	0.530628251
99	0.6	4.605170186	0.470003629
100	0.4	4.615120517	0.336472237
101	0.5	4.624972813	0.405465108
102	0.6	4.634728988	0.470003629
103	0.5	4.644390899	0.405465108
104	0.2	4.65396035	0.182321557
105	0.6	4.663439094	0.470003629
106	0.6	4.672828834	0.470003629
107	0.7	4.682131227	0.530628251
108	0.3	4.691347882	0.262364264
109	0.2	4.700480366	0.182321557
110	0.5	4.709530201	0.405465108
111	0.3	4.718498871	0.262364264
112	0.3	4.727387819	0.262364264
113	0.4	4.736198448	0.336472237
114	0.2	4.744932128	0.182321557
115	0.1	4.753590191	0.09531018
116	0.2	4.762173935	0.182321557
117	0.5	4.770684624	0.405465108
118	0.7	4.779123493	0.530628251
119	0.5	4.787491743	0.405465108
120	0.2	4.795790546	0.182321557
121	0.2	4.804021045	0.182321557
122	0.4	4.812184355	0.336472237
123	0.2	4.820281566	0.182321557
124	0.6	4.828313737	0.470003629
125	0.3	4.836281907	0.262364264
126	0.7	4.844187086	0.530628251
